"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	34	65774	51.7	48.9
	"Baldwin County, AL"	"01003"	176	235343	74.8	72.1
	"Barbour County, AL"	"01005"	Suppressed	22550	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	31	27879	111.2	112.2
	"Blount County, AL"	"01009"	64	82264	77.8	75.8
	"Bullock County, AL"	"01011"	Suppressed	4333	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	18179	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	97	140927	68.8	67.0
	"Chambers County, AL"	"01017"	19	32592	Unreliable	Unreliable
	"Cherokee County, AL"	"01019"	39	39009	100.0	100.0
	"Chilton County, AL"	"01021"	44	58136	75.7	77.1
	"Choctaw County, AL"	"01023"	Suppressed	12319	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	11	22769	Unreliable	Unreliable
	"Clay County, AL"	"01027"	Suppressed	17875	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	11	22102	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	27	56262	48.0	46.4
	"Colbert County, AL"	"01033"	40	70247	56.9	54.4
	"Conecuh County, AL"	"01035"	Suppressed	11256	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	11	12486	Unreliable	Unreliable
	"Covington County, AL"	"01039"	24	49745	48.2	46.1
	"Crenshaw County, AL"	"01041"	Suppressed	15918	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	73	118984	61.4	58.5
	"Dale County, AL"	"01045"	30	57200	52.4	49.0
	"Dallas County, AL"	"01047"	15	21775	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	50	95547	52.3	47.8
	"Elmore County, AL"	"01051"	44	97542	45.1	43.5
	"Escambia County, AL"	"01053"	41	38481	106.5	100.5
	"Etowah County, AL"	"01055"	99	134731	73.5	69.4
	"Fayette County, AL"	"01057"	23	23644	97.3	87.0
	"Franklin County, AL"	"01059"	32	40712	78.6	81.4
	"Geneva County, AL"	"01061"	14	35703	Unreliable	Unreliable
