"FIPS","Population_12_14","Death_rate_12_14","Population_06_08","Death_rate_06_08","Pop_growth","Misery_growth","dem_2016","gop_2016","total_2016","dem_2008","gop_2008","total_2008","trump_shift","total_votes","state_abbr","county_name"
1001,66804,56.9,65774,48.9,1030,8,5908,18110,24661,6093,17403,23641,0.013338555412688,24151,"AL","Autauga County"
1003,256357,81.6,235343,72.1,21014,9.5,18409,72780,94090,19386,61271,81413,0.0384736970305157,87751.5,"AL","Baldwin County"
1007,27477,102.2,27879,112.2,-402,-10,1874,6733,8748,2299,6262,8644,0.0508136396125607,8696,"AL","Bibb County"
1009,80442,99.3,82264,75.8,-1822,23.5,2150,22808,25384,3522,20389,24267,0.0611515003605958,24825.5,"AL","Blount County"
1015,136445,73.7,140927,67,-4482,6.7,13197,32803,47376,16334,32348,49242,0.0486331194638497,48309,"AL","Calhoun County"
1019,37741,97.1,39009,100,-1268,-2.90000000000001,1524,8809,10503,2306,7298,9745,0.0926196595478037,10124,"AL","Cherokee County"
1021,56593,65.4,58136,77.1,-1543,-11.7,2909,15068,18255,3674,13960,17785,0.0465296320909188,18020,"AL","Chilton County"
1031,58649,60.3,56262,46.4,2387,13.9,4194,15825,20513,5079,14919,20128,0.0444744234651249,20320.5,"AL","Coffee County"
1033,68110,46.1,70247,54.4,-2137,-8.3,7296,16718,24626,9703,14739,24843,0.0931578371008205,24734.5,"AL","Colbert County"
1039,48647,53.8,49745,46.1,-1098,7.7,2379,13222,15818,3240,12444,15787,0.0540897291077657,15802.5,"AL","Covington County"
1043,117559,102.2,118984,58.5,-1425,43.7,3730,32734,37278,5864,28896,35305,0.0664069825509441,36291.5,"AL","Cullman County"
1045,56896,65.8,57200,49,-304,16.8,4408,13798,18617,5270,13886,19320,0.0329916431442694,18968.5,"AL","Dale County"
1049,92390,92.9,95547,47.8,-3157,45.1,3682,21779,26086,5658,17957,24015,0.0949801485298788,25050.5,"AL","DeKalb County"
1051,97440,49.1,97542,43.5,-102,5.6,8436,27619,36905,8301,25777,34315,0.00961236854809722,35610,"AL","Elmore County"
1053,36399,126.5,38481,100.5,-2082,26,4698,10282,15213,5188,9375,14674,0.0426271215886558,14943.5,"AL","Escambia County"
1055,130174,81.1,134731,69.4,-4557,11.7,10350,32132,43474,13497,30595,44737,0.0624773545833733,44105.5,"AL","Etowah County"
1057,22185,105.7,23644,87,-1459,18.7,1358,6705,8196,1994,5883,7957,0.0847183955108126,8076.5,"AL","Fayette County"
1059,39048,103.5,40712,81.4,-1664,22.1,2197,9466,11955,3469,8048,11693,0.112833422711329,11824,"AL","Franklin County"
1069,112681,76,112156,54.2,525,21.8,10547,30567,42030,12225,29254,41735,0.03819683027332,41882.5,"AL","Houston County"
1071,75676,85.5,79941,65.7,-4265,19.8,3663,16643,20785,6374,14083,20874,0.131190355628493,20829.5,"AL","Jackson County"
1073,552104,108,576688,76.1,-24584,31.9,151581,130614,290111,166121,149921,318524,-0.0115203382543194,304317.5,"AL","Jefferson County"
1077,120411,53.1,123812,59.8,-3401,-6.7,9877,27735,38813,13329,24068,38104,0.093816603139395,38458.5,"AL","Lauderdale County"
1079,42716,91.7,44835,68.9,-2119,22.8,3611,10732,14623,5164,9277,14680,0.105832523843083,14651.5,"AL","Lawrence County"
1081,147798,60.5,129849,33.9,17949,26.6,20987,34321,57668,21498,32230,54325,0.0206697036634912,55996.5,"AL","Lee County"
1083,116079,47.9,103704,55.5,12375,-7.6,9340,28824,39400,9536,23598,33551,0.0430677938086106,36475.5,"AL","Limestone County"
1089,383204,54.3,358359,48.3,24845,6,62435,89199,159473,64117,86965,152899,0.0126374082267697,156186,"AL","Madison County"
1095,122972,88.2,123502,74.1,-530,14.1,4913,29217,34965,7038,25727,33166,0.0708527761354834,34065.5,"AL","Marshall County"
1097,387624,93.7,399025,75.4,-11401,18.3,68429,91087,163387,82181,98049,181424,0.0269995607461059,172405.5,"AL","Mobile County"
1101,134902,68,155228,54.9,-20326,13.1,58669,33928,94572,62166,42031,104743,-0.0369751765805371,99657.5,"AL","Montgomery County"
1103,149759,74.8,153969,67.4,-4210,7.39999999999999,11216,37392,49991,13895,36014,50542,0.047662789726941,50266.5,"AL","Morgan County"
1113,48062,86.5,43977,90,4085,-3.5,9577,9210,19136,10085,8705,18915,0.0269542681119193,19025.5,"AL","Russell County"
1115,121450,98,116430,76.7,5020,21.3,5550,31579,37937,6091,27649,34088,0.0310487196923117,36012.5,"AL","St. Clair County"
1117,268321,69.8,261613,61.8,6708,8,22927,72846,99208,20625,69060,90643,-0.00941740468796493,94925.5,"AL","Shelby County"
1121,83335,99.4,88163,62.7,-4828,36.7,12108,20596,33218,13779,20112,34204,0.0363381741372898,33711,"AL","Talladega County"
1123,44069,92.1,46986,39.6,-2917,52.5,5271,12967,18504,6063,13116,19311,0.0271150608564475,18907.5,"AL","Tallapoosa County"
1125,186006,80.6,177957,78.4,8049,2.19999999999999,31746,47701,81708,32796,45405,78912,0.0197936801843979,80310,"AL","Tuscaloosa County"
1127,93259,132.9,100251,127.2,-6992,5.7,4486,24208,29243,7420,20722,28652,0.107323548291524,28947.5,"AL","Walker County"
2020,335697,74.7,336629,66.6,-932,8.10000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090,124385,72.1,120167,49.9,4218,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2110,41959,70.7,41748,63.9,211,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2122,80857,92.9,79611,69.9,1246,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2170,134343,82.9,118388,84.3,15955,-1.39999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,21446,98.6,23047,104.7,-1601,-6.10000000000001,12196,5315,18659,15390,8551,24262,-0.0536462093530421,21460.5,"AZ","Apache County"
4003,113670,94.9,123451,63.3,-9781,31.6,15291,25036,43147,18943,29026,48820,0.015725631087356,45983.5,"AZ","Cochise County"
4005,115976,79.2,120482,55,-4506,24.2,25308,16573,44929,31433,22186,54344,-0.0180548031473852,49636.5,"AZ","Coconino County"
4007,48352,149.7,54895,99.3,-6543,50.4,6746,13672,21398,7884,14095,22333,0.0283112878506978,21865.5,"AZ","Gila County"
4009,28712,95.4,27350,99.1,1362,-3.69999999999999,3301,8025,11939,3487,8376,12007,0.00248584519041628,11973,"AZ","Graham County"
4012,13535,157.8,17177,141.7,-3642,16.1,1318,3381,4931,1929,3509,5552,0.0742407925876257,5241.5,"AZ","La Paz County"
